ch1,ch2,n_A,n_B,mean_A,mean_B,mean_diff,perm_n,perm_pval,perm_method,perm_significant,perm_exclude_self,perm_alternative,perm_q_bh,perm_significant_bh
RAI16,RAI12,1,1,0.5726443616436021,0.5272922912735531,0.04535207037004896,272,0.015,without_replacement,True,True,greater,0.07285714285714286,False
RAI6,RAI12,1,1,0.5501433281365926,0.7055281559079835,-0.15538482777139084,272,0.0,without_replacement,True,True,greater,0.0,True
RAI6,RAI13,1,1,0.5062603914124457,0.5958703095832125,-0.0896099181707668,272,0.01,without_replacement,True,True,greater,0.05666666666666667,False
RAIF11,RAI14,1,1,0.5941888260054328,0.5285170136165167,0.06567181238891606,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF11,RAMF10,1,1,0.5489140155444262,0.5516023218382735,-0.002688306293847309,272,0.015,without_replacement,True,True,greater,0.07285714285714286,False
RAIF11,RAMF12,1,1,0.5621866650470838,0.557181525392626,0.005005139654457813,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF11,RPI14,1,1,0.6116282997656896,0.5409618260544508,0.0706664737112388,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAI16,1,1,0.6585442985509937,0.486887097667726,0.17165720088326775,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAI6,1,1,0.6006499921115825,0.5316872659697978,0.06896272614178478,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAIF13,1,1,0.5629262349716929,0.5465319941282327,0.016394240843460195,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAMF11,1,1,0.6386253716750914,0.5986832673332101,0.03994210434188128,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAMF12,1,1,0.5185082736343226,0.5775187593089646,-0.059010485674641955,272,0.025,without_replacement,True,True,greater,0.10625000000000001,False
RAIF13,RAI14,1,1,0.490832303120507,0.6155121311352239,-0.12467982801471683,272,0.025,without_replacement,True,True,greater,0.10625000000000001,False
RAIF13,RAIF14,1,1,0.5206279540843495,0.6186882371681002,-0.0980602830837507,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF13,RAMF11,1,1,0.4798673469873015,0.626830684926442,-0.14696333793914051,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF13,RPI15,1,1,0.5200543518721363,0.5736280488139138,-0.05357369694177749,272,0.02,without_replacement,True,True,greater,0.09066666666666667,False
RAIF14,RAI12,1,1,0.5484989306709993,0.562836014038908,-0.014337083367908732,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF14,RAI13,1,1,0.5232634014158237,0.741149057728102,-0.2178856563122783,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF14,RAI14,1,1,0.5196882047519903,0.598387251676873,-0.07869904692488272,272,0.0,without_replacement,True,True,greater,0.0,True
RAIF14,RAMF10,1,1,0.5615162340549023,0.532732281600565,0.02878395245433729,272,0.02,without_replacement,True,True,greater,0.09066666666666667,False
RAMF10,RAI16,1,1,0.4967509277320432,0.6010639478670184,-0.10431302013497523,272,0.035,without_replacement,True,True,greater,0.14,False
RAMF11,RAMF14,1,1,0.5732744823282193,0.5309644945853864,0.0423099877428329,272,0.015,without_replacement,True,True,greater,0.07285714285714286,False
RAMF12,RAI13,1,1,0.5648025293062556,0.587634787354989,-0.022832258048733345,272,0.0,without_replacement,True,True,greater,0.0,True
RAMF12,RAI15,1,1,0.6070464255889966,0.5030732181552999,0.10397320743369665,272,0.005,without_replacement,True,True,greater,0.032380952380952385,True
RAMF12,RAMF13,1,1,0.6429308614294262,0.6163212467020058,0.026609614727420405,272,0.0,without_replacement,True,True,greater,0.0,True
RAMF12,RAMF14,1,1,0.5624228561216009,0.5436519662227643,0.018770889898836574,272,0.01,without_replacement,True,True,greater,0.05666666666666667,False
RAMF12,RPI15,1,1,0.6085047434928857,0.4944560160065227,0.11404872748636302,272,0.015,without_replacement,True,True,greater,0.07285714285714286,False
RAMF13,RAMF14,1,1,0.5221129455875014,0.5845878497048377,-0.06247490411733625,272,0.01,without_replacement,True,True,greater,0.05666666666666667,False
RAMF13,RPI15,1,1,0.5440511692672503,0.5892379702203386,-0.04518680095308836,272,0.0,without_replacement,True,True,greater,0.0,True
RPI14,RAMF11,1,1,0.5716804401824763,0.5447299439726262,0.026950496209850128,272,0.005,without_replacement,True,True,greater,0.032380952380952385,True
RPI14,RAMF13,1,1,0.6352037667940196,0.5269253798134476,0.10827838698057202,272,0.0,without_replacement,True,True,greater,0.0,True
RPI15,RAI13,1,1,0.4924323883015381,0.5976338766777541,-0.10520148837621601,272,0.035,without_replacement,True,True,greater,0.14,False
RPI15,RAI14,1,1,0.5102772500381663,0.6449919971307656,-0.13471474709259934,272,0.0,without_replacement,True,True,greater,0.0,True
RPI15,RAI6,1,1,0.6244290587663008,0.5485555696261804,0.07587348914012049,272,0.0,without_replacement,True,True,greater,0.0,True
